Time(ms),Altitude(m),RelativeAlt(m),SmoothedAlt(m),Temp(C),Pressure(hPa),AX,AY,AZ,SmoothedAZ,GX,GY,GZ
13604,78.03,0.10,-0.03,24.61,1003.91,32767,2618,-27682,-5325,32767,25041,12795
13735,78.02,0.09,-0.01,24.60,1003.91,-9631,-4407,20984,-1372,32767,9962,32767
13870,78.11,0.18,0.01,24.60,1003.90,7037,-10924,-8496,-2976,-8521,-12259,-32768
14004,78.18,0.25,0.04,24.59,1003.89,-21426,-5506,-3640,-4315,-16268,27977,-32768
14138,78.14,0.20,0.06,24.59,1003.90,164,-1513,369,-3693,-5415,5690,-630
14271,78.08,0.15,0.08,24.58,1003.91,6198,-121,-1700,1503,-1452,1721,-9104
14407,78.12,0.19,0.09,24.58,1003.90,3427,493,-1346,-2962,4783,-5402,-4681
14541,78.24,0.31,0.12,24.57,1003.89,3496,788,-1976,-1658,-225,-9788,-4295
14675,78.33,0.40,0.16,24.57,1003.88,1889,464,-2003,-1331,1672,-8189,87
14809,78.45,0.52,0.20,24.57,1003.86,2210,610,-1844,-1773,1891,-5512,-738
14943,78.45,0.51,0.25,24.57,1003.86,2437,851,-2523,-1938,83,-3268,-771
15077,78.49,0.56,0.29,24.57,1003.86,2400,901,-2843,-2237,-237,-1577,-505
15210,78.50,0.57,0.32,24.57,1003.86,2661,924,-3188,-2480,207,-1936,425
15347,78.51,0.58,0.36,24.57,1003.86,2324,1140,-3802,-2840,-571,-2582,-1439
15480,78.57,0.64,0.39,24.57,1003.85,1652,1011,-2514,-2974,322,-2507,-882
15614,78.68,0.75,0.44,24.57,1003.84,1628,1012,-2948,-3059,1960,-409,-2429
15749,78.76,0.83,0.49,24.57,1003.83,2876,1186,-3743,-3239,1621,108,-937
15882,78.90,0.97,0.55,24.57,1003.81,2046,818,-3514,-3304,-1378,1324,78
16016,79.05,1.11,0.63,24.57,1003.79,2348,740,-3647,-3273,-245,2429,-82
16150,79.10,1.17,0.70,24.57,1003.79,2400,993,-3412,-3452,1223,1889,799
16286,79.14,1.21,0.77,24.56,1003.78,3376,1175,-2466,-3356,2280,5717,5287
16420,79.13,1.20,0.82,24.56,1003.78,3800,1291,-3508,-3309,4378,2819,-98
16553,79.22,1.29,0.88,24.56,1003.77,3684,982,-3829,-3372,-5603,214,-2092
16688,79.33,1.40,0.95,24.56,1003.76,2396,1159,-2229,-3088,-793,-1443,-2418
16822,79.40,1.47,1.02,24.55,1003.75,2582,964,-3392,-3084,5077,-3471,814
16955,79.43,1.50,1.08,24.55,1003.75,2119,1242,-3646,-3320,-1376,-6085,-21
17089,79.56,1.63,1.15,24.55,1003.73,2041,1167,-3923,-3403,206,-3164,-2797
17225,79.57,1.63,1.22,24.55,1003.73,1480,1202,-3533,-3344,809,-5920,-1094
17359,79.58,1.65,1.27,24.55,1003.73,899,974,-3850,-3668,1740,-5916,2947
17492,79.51,1.57,1.31,24.55,1003.74,1254,1226,-4117,-3813,-1182,-6231,958
17627,79.57,1.64,1.36,24.55,1003.73,263,1031,-3067,-3698,-653,-6773,2738
17760,79.61,1.67,1.40,24.55,1003.73,-33,849,-3566,-3626,1433,-5439,-1712
17894,79.66,1.72,1.44,24.54,1003.72,368,935,-4072,-3734,1477,-4563,1281
18030,79.61,1.67,1.47,24.54,1003.72,-407,713,-3731,-3710,751,-4365,1962
18164,79.63,1.70,1.50,24.54,1003.72,-856,456,-4088,-3704,-1410,-2232,-326
18297,79.76,1.82,1.55,24.54,1003.71,-841,714,-3609,-3813,-1062,-1974,-939
18432,79.85,1.91,1.59,24.54,1003.70,-1081,643,-3982,-3896,-307,-3003,394
18565,79.86,1.93,1.64,24.54,1003.69,-335,877,-3380,-3758,-1329,-2577,587
18699,79.84,1.91,1.67,24.54,1003.70,-742,836,-3696,-3751,-2531,-5679,-344
18832,79.94,2.01,1.72,24.54,1003.69,-2866,491,-3223,-3578,-241,-3564,-1274
18968,79.99,2.06,1.76,24.54,1003.68,-1485,601,-3189,-3494,264,-1406,-1580
19102,79.96,2.03,1.80,24.54,1003.68,-2360,901,-2751,-3247,-106,-5264,2844
19235,79.99,2.06,1.83,24.54,1003.68,-3033,206,-3011,-3174,-662,-4637,191
19369,79.98,2.04,1.86,24.55,1003.68,-3274,291,-2648,-2964,368,-2521,1818
19503,79.99,2.06,1.89,24.55,1003.68,-3143,254,-2543,-2828,1892,-2301,6667
19637,79.91,1.98,1.90,24.55,1003.69,-3014,741,-3502,-2891,4884,79,8408
19770,79.91,1.98,1.91,24.55,1003.69,-3296,1126,-3152,-2971,2940,-2177,10423
19907,79.91,1.98,1.92,24.55,1003.69,-2441,1656,-2218,-2812,2653,-3594,11874
20040,79.93,2.00,1.93,24.55,1003.69,-2264,1702,-2805,-2844,5203,-4244,12321
20176,79.95,2.01,1.94,24.55,1003.68,-2024,2150,-2652,-2865,2964,-1112,12159
20310,79.96,2.02,1.95,24.55,1003.68,-1649,2653,-2663,-2698,4519,-5206,14830
20443,80.00,2.07,1.97,24.55,1003.68,-2032,2074,-1663,-2400,4515,572,12376
20576,80.05,2.11,1.99,24.55,1003.67,-1553,1330,-3379,-2632,5024,-2300,12352
20709,80.03,2.10,2.00,24.55,1003.67,-235,2055,-3464,-2764,1055,-287,10118
20845,79.96,2.03,2.00,24.55,1003.68,494,2985,-3038,-2841,-2565,2955,6596
20978,79.91,1.97,2.00,24.55,1003.69,1277,3303,-2540,-2816,-393,210,6565
21111,79.88,1.94,1.99,24.56,1003.69,871,3230,-1952,-2874,-4106,4072,4718
21244,79.84,1.91,1.98,24.56,1003.70,377,3050,-1989,-2596,-570,177,7863
21378,79.69,1.76,1.95,24.56,1003.71,1053,2431,-2703,-2444,3040,1069,6683
21511,79.57,1.64,1.91,24.56,1003.73,1662,3258,-2296,-2296,-26,7362,2051
21644,79.59,1.66,1.88,24.56,1003.73,1677,1733,-1567,-2101,-1076,8062,2946
21780,79.52,1.58,1.84,24.56,1003.74,3435,1501,-2642,-2239,-2616,7298,3275
21913,79.50,1.57,1.80,24.56,1003.74,3718,2182,-2118,-2265,333,6481,4532
22046,79.42,1.49,1.76,24.56,1003.75,3217,1787,-1078,-1940,-1566,6074,2175
22179,79.25,1.32,1.70,24.56,1003.77,2875,1418,-969,-1674,-1262,5074,135
22312,79.17,1.23,1.64,24.55,1003.78,3396,1746,-812,-1523,-2648,2145,4264
22447,78.97,1.04,1.56,24.55,1003.80,4278,1478,-41,-1003,-373,565,4111
22580,78.95,1.02,1.49,24.55,1003.80,4131,1262,-1201,-820,-1490,2285,380
22715,78.85,0.92,1.42,24.55,1003.81,3360,827,-676,-739,-1738,3109,1352
22848,78.76,0.83,1.34,24.54,1003.83,4252,1005,-654,-676,-1630,-2337,1172
22981,78.78,0.84,1.27,24.54,1003.82,4598,882,-1349,-784,-4173,2415,2489
23114,78.64,0.71,1.20,24.54,1003.84,4319,145,-871,-950,-3760,-1932,4792
23247,78.59,0.66,1.13,24.54,1003.85,3714,167,-1495,-1009,-4885,777,1952
23380,78.49,0.55,1.05,24.53,1003.86,4149,323,-1128,-1099,-4281,579,3400
23514,78.33,0.40,0.97,24.53,1003.88,6338,158,-822,-1133,-3454,139,2665
23650,78.21,0.28,0.88,24.53,1003.89,4479,119,-775,-1018,-2865,23,2167
23783,78.10,0.17,0.78,24.53,1003.90,4210,-389,-957,-1035,-2950,-441,-1981
23916,78.03,0.10,0.69,24.52,1003.91,4358,31,-1425,-1021,-2537,-9595,9033
